movie_title,release_date,genre
Anatomy of a Murder,1-Jul-59,"Drama,Mystery,Thriller,Crime"
Bringing Up Baby,18-Feb-38,"Comedy,Romance,Family"
After Life,12-May-99,"Drama,Fantasy"
Gavagai,3-Aug-18,Drama
The Hustler,25-Sep-61,"Drama,Sport"
The Circus,1-Jan-29,"Comedy,Romance"
National Gallery,5-Nov-14,"History,Documentary"
Tales of the Grim Sleeper,26-Dec-14,"Crime,Documentary"
The Waiting Room,28-Sep-12,Documentary
Rosie,19-Jul-19,Drama
Levitated Mass,5-Sep-14,"Biography,History,Documentary,News"
Nossa Chape,1-Jun-18,"Sport,Documentary"
Fiddler: A Miracle of Miracles,23-Aug-19,Documentary
Liyana,10-Oct-18,"Animation,Documentary"
David Crosby: Remember My Name,19-Jul-19,"Music,Documentary"
Colliding Dreams,4-Mar-16,"Biography,History,Documentary,News"
The Order of Myths,25-Jul-08,Documentary
House of Games,14-Oct-87,"Thriller,Crime"
Tickling Giants,15-Mar-17,Documentary
Abuse of Weakness,15-Aug-14,Drama
People's Republic of Desire,30-Nov-18,Documentary
The Decline of Western Civilization Part III,7-Jul-00,Documentary
How to Change the World,9-Sep-15,"Adventure,Biography,History,Documentary"
"Monrovia, Indiana",26-Oct-18,Documentary
The Death and Life of Marsha P. Johnson,6-Oct-17,Documentary
Outside In,30-Mar-18,Drama
"3 1/2 Minutes, 10 Bullets",19-Jun-15,"Drama,Crime,Documentary,News"
Keep Quiet,10-Feb-17,Documentary
Trees Lounge,11-Oct-96,"Drama,Comedy"
Afternoon of a Faun: Tanaquil Le Clercq,5-Feb-14,"Biography,Drama,Music,Documentary"
Promare,17-Sep-19,"Adventure,Sci-Fi,Animation"
Heavy,5-Jun-96,"Drama,Romance"
Charlie's Country,5-Jun-15,Drama
What Ever Happened to Baby Jane?,31-Oct-62,"Drama,Thriller,Horror"
Little Woods,19-Apr-19,"Drama,Crime,Western"
Land and Shade,17-Jun-16,Drama
The Rape of Recy Taylor,8-Dec-17,Documentary
(T)error,7-Oct-15,Documentary
China Blue,26-Jan-07,Documentary
Big Animal,20-Feb-04,"Drama,Comedy"
One Week and a Day,28-Apr-17,"Drama,Comedy"
Saturday Church,12-Jan-18,"Drama,Fantasy,Musical"
Violette,13-Jun-14,"Biography,Drama"
The Kill Team,25-Jul-14,Documentary
Isn't This a Time! A Tribute Concert for Harold Leventhal,9-Dec-05,Documentary
The Talent Given Us,17-Jun-05,"Drama,Comedy"
Men Go to Battle,8-Jul-16,"Drama,History,Comedy"
The Brink,29-Mar-19,Documentary
The Farewell Party,22-May-15,"Drama,Comedy"
Pasolini,10-May-19,"Biography,Drama"
"Cry, the Beloved Country",15-Dec-95,"Drama,Thriller"
Sylvio,13-Oct-17,"Drama,Fantasy,Comedy"
11 Flowers,22-Feb-13,Drama
King Leopold's Ghost,18-Aug-06,Documentary
Jerichow,15-May-09,Drama
"The Man Nobody Knew: In Search of My Father, CIA Spymaster William Colby",23-Sep-11,"Biography,History,War,Documentary"
Rock the Bells,11-Apr-07,"Music,Documentary"
The Great Muppet Caper,26-Jun-81,"Adventure,Mystery,Comedy,Crime,Family,Musical"
Citizen Jane: Battle for the City,21-Apr-17,"Biography,History,Documentary"
Who Gets to Call It Art?,1-Feb-06,Documentary
Sicilian Ghost Story,30-Nov-18,"Drama,Mystery,Fantasy,Romance,Crime"
The Cruise,23-Oct-98,Documentary
The Reports on Sarah and Saleem,12-Jun-19,"Drama,Mystery,Romance,Crime,War"
Moka,14-Jun-17,Drama
Bill W.,18-May-12,"Biography,History,Documentary"
Here,13-Apr-12,"Adventure,Drama,Romance"
Afterglow,26-Dec-97,"Drama,Comedy,Romance"
Stations of the Cross,10-Jul-15,Drama
Sorcerer,24-Jun-77,"Adventure,Drama,Thriller"
Into Eternity,2-Feb-11,Documentary
Protagonist,30-Nov-07,Documentary
Purple Butterfly,26-Nov-04,"Drama,History,War"
The Beauty Academy of Kabul,24-Mar-06,Documentary
Who Is Harry Nilsson (And Why Is Everybody Talkin' About Him?),10-Sep-10,"Music,Documentary"
The Gospel According to André,25-May-18,Documentary
Buena Vista Social Club: Adios,26-May-17,Documentary
After Everything,12-Oct-18,"Drama,Comedy"
Escape Fire: The Fight to Rescue American Healthcare,5-Oct-12,"Documentary,News"
Parched,17-Jun-16,Drama
Steel City,25-May-07,Drama
Been Rich All My Life,21-Jul-06,Documentary
Super Fly,4-Aug-72,"Action,Drama,Crime"
You Will Be My Son,16-Aug-13,Drama
The Goebbles Experiment,12-Aug-05,"Biography,History,War,Documentary"
