movie_title,content_rating,genres,directors,original_release_date,streaming_release_date,runtime,production_company,audience_rating
Percy Jackson & the Olympians: The Lightning Thief,PG,"Action & Adventure, Comedy, Drama, Science Fiction & Fantasy",Chris Columbus,2010-02-12,2015-11-25,119,20th Century Fox,53
Please Give,R,Comedy,Nicole Holofcener,2010-04-30,2012-09-04,90,Sony Pictures Classics,64
10,R,"Comedy, Romance",Blake Edwards,1979-10-05,2014-07-24,122,Waner Bros.,53
12 Angry Men (Twelve Angry Men),NR,"Classics, Drama",Sidney Lumet,1957-04-13,2017-01-13,95,Criterion Collection,97
"20,000 Leagues Under The Sea",G,"Action & Adventure, Drama, Kids & Family",Richard Fleischer,1954-01-01,2016-06-10,127,Disney,74
"10,000 B.C.",PG-13,"Action & Adventure, Classics, Drama",Roland Emmerich,2008-03-07,2013-06-22,109,Warner Bros. Pictures,37
The 39 Steps,NR,"Action & Adventure, Classics, Mystery & Suspense",Alfred Hitchcock,1935-08-01,2017-01-12,80,Gaumont British Distributors,86
Smile,PG-13,"Art House & International, Comedy, Drama","Jeff Kramer, Jeffrey Kramer",2005-04-08,2016-11-18,107,Dark Forest Releasing,66
3:10 to Yuma,NR,"Classics, Drama, Western",Delmer Daves,1957-08-07,2012-04-16,92,Columbia Pictures,79
Charly (A Heartbeat Away),PG,"Comedy, Drama, Romance",Adam Thomas Anderegg,2002-09-27,2017-05-22,103,Excel Entertainment,87
Abraham Lincoln,NR,"Classics, Drama",D.W. Griffith,1930-11-08,2013-12-03,97,United Artists,40
Dark Water,PG-13,"Art House & International, Horror, Mystery & Suspense",Hideo Nakata,2002-01-19,2017-03-23,100,Toho Company Ltd,66
The Accused,R,"Drama, Mystery & Suspense",Jonathan Kaplan,1988-10-14,2016-10-04,110,Paramount Pictures,79
The Lost City,R,Drama,Andy Garcia,2005-09-03,2017-03-23,143,Magnolia Pictures,64
The Breaking Point,NR,Drama,Michael Curtiz,1950-10-06,2016-08-25,97,Warner Home Video,86
Adam's Rib,NR,"Classics, Comedy, Romance",George Cukor,1949-11-18,2008-05-01,101,MGM Home Entertainment,86
Dead Dicks,NR,Horror,"Chris Bavota, Lee Paula Springer",2019-12-07,2020-07-28,,,58
The Bridge of San Luis Rey,PG,"Art House & International, Drama, Faith & Spirituality",Mary McGuckian,2005-06-10,2014-07-24,124,Fine Line Features,35
The Prowler (Cost of Living ),PG,"Drama, Mystery & Suspense",Joseph Losey,1951-12-03,2016-12-05,92,VCI Entertainment,86
Criminal,R,"Drama, Mystery & Suspense","Greggory Jacobs, Gregory Jacobs, Greg Jacobs",2004-09-24,2016-04-27,87,Warner Bros. Pictures,57
The Adventures of Mark Twain,G,"Action & Adventure, Animation, Kids & Family",Will Vinton,1985-03-01,2017-02-04,86,Eureka Entertainment Ltd,82
Deep Blue,G,"Documentary, Special Interest","Andy Byatt, Alastair Fothergill",2005-06-17,2016-12-07,90,Miramax Flims,80
The Adventures of Robin Hood,PG,"Action & Adventure, Classics, Romance","Michael Curtiz, William Keighley",1938-05-14,2014-01-23,102,Warner Bros.,89
Man Hunt,NR,"Classics, Drama, Mystery & Suspense",Fritz Lang,1941-01-01,2014-03-01,100,Twentieth Century Fox,75
